median-3,median-5,median-7,median-9
0.309361188,0.332297884,0.327519615,0.32039001
0.347898421,0.361021811,0.346892695,0.339823656
0.419202007,0.448173664,0.449899018,0.445551082
0.317487742,0.33285532,0.334975074,0.322739885
0.234529059,0.22855561,0.215333245,0.198953797
0.331792193,0.347083296,0.345700554,0.324627628
0.270330024,0.270317378,0.26270985,0.252623153
0.31770856,0.315553312,0.302973319,0.285425307
0.251029213,0.249896311,0.240982582,0.231250175
0.2323504,0.223828033,0.212909401,0.20325276
0.328207765,0.326501152,0.314781842,0.311895764
0.328720088,0.332384838,0.320504811,0.310721495
0.324838235,0.324019098,0.313233027,0.306354483
0.301163159,0.288047421,0.279177649,0.269002705
0.242506557,0.223004779,0.203853722,0.189976822
0.243948228,0.24782186,0.239915697,0.22547411
0.369462622,0.386573833,0.374225433,0.371610304
0.251886072,0.256892698,0.257148631,0.253054131
0.451226687,0.468288441,0.455914724,0.437211727
0.356831654,0.350065253,0.349668188,0.350910424
0.387324018,0.39723339,0.393598381,0.377517698
0.418236565,0.429133205,0.411294591,0.386366274
0.346882876,0.364079709,0.359147663,0.352913865
0.272462288,0.271297308,0.274321383,0.273383284
0.343102226,0.338015017,0.324725207,0.305243678
0.369168551,0.421852482,0.418182654,0.372883091
0.278471316,0.281937665,0.270299904,0.260849852
0.439854151,0.436087513,0.426917208,0.411858177
0.373421843,0.375066317,0.366238649,0.357470764
0.395827898,0.396238342,0.40531822,0.384789755
0.396733501,0.412052419,0.409975624,0.409968302
0.328509798,0.340219597,0.346900564,0.33765628
0.302375878,0.333925237,0.334359861,0.291640295
0.319215754,0.29593547,0.266619069,0.251339675
0.315087854,0.297776904,0.279754208,0.27068513
0.325847344,0.314530207,0.298435478,0.277343592
0.350459377,0.343106928,0.317083986,0.291158109
0.366398162,0.385061996,0.370312614,0.360087622
0.34059007,0.346990779,0.331959797,0.313197286
0.2891427,0.281813285,0.270259654,0.259598889
0.349646681,0.337394058,0.307059446,0.275016084
0.42335169,0.441568224,0.438290296,0.440265273
0.3580958,0.399259592,0.414081517,0.387911627
0.388916018,0.419102256,0.412393574,0.389933679
0.289672428,0.280204684,0.27408554,0.263996107
0.35682692,0.38159257,0.385618564,0.375963336
0.345218034,0.372654899,0.380197071,0.364083189
0.341716246,0.400535557,0.418865734,0.416083006
0.342174735,0.343997085,0.341999582,0.340829948
0.321688672,0.290041925,0.260132125,0.230027057
0.349061649,0.336229699,0.324466929,0.295180261
0.438690761,0.458050676,0.455981541,0.454823949
0.46372663,0.477905487,0.466657279,0.448769754
0.419578336,0.412766637,0.387846585,0.350675694
0.388431822,0.410578991,0.40154568,0.384157511
0.362673729,0.364867839,0.355059811,0.35222083
0.407463865,0.451164285,0.469329337,0.479480009
0.41462699,0.437912234,0.45359801,0.460067466
0.422930898,0.413411446,0.397298616,0.394968277
0.458608128,0.485821136,0.489128643,0.490869313
0.360964063,0.403771488,0.408610042,0.373110004
0.398979301,0.410666455,0.38745146,0.371195365
0.301348517,0.315735753,0.337613282,0.352996892
0.422162679,0.475729489,0.508624954,0.514851315
0.290840274,0.278993117,0.262510061,0.242839464
0.278588777,0.269023123,0.256558479,0.236787372
0.279753447,0.277507095,0.264254181,0.24742344
0.490033104,0.44055251,0.547349839,0.504438002
0.416995845,0.438132407,0.421681822,0.415116136
0.346751782,0.390845959,0.399983016,0.401823201
0.314943771,0.319275361,0.320312023,0.308384435
0.496717786,0.507355675,0.501105493,0.483582817
0.46690768,0.495534519,0.480717502,0.467172352
0.554449897,0.596864091,0.598840309,0.596650599
0.297631576,0.324176675,0.358377207,0.310301179
0.384006861,0.437073037,0.377145443,0.367836258
0.427311699,0.43714921,0.447154112,0.433243708
0.323293143,0.315589404,0.301308513,0.283898223
0.25927535,0.278049453,0.281462992,0.286801575
0.343094654,0.347838309,0.330611937,0.310408034
0.347316329,0.345648572,0.322072425,0.290682858
0.439619744,0.468091692,0.474375868,0.466899099
0.395462734,0.426259901,0.436676824,0.429439278
0.373210652,0.379998876,0.351712324,0.298125087
0.29303418,0.290108673,0.276832248,0.253084363
0.289258145,0.269884912,0.244587359,0.218488556
0.275477641,0.255799949,0.229764964,0.204543772
0.282126107,0.265448757,0.235393924,0.208292931
0.290722008,0.254672619,0.222857925,0.200334804
0.363657815,0.342992938,0.328969916,0.313721701
0.293132842,0.274868269,0.246976362,0.223832542
0.316994036,0.320653178,0.297092625,0.281214245
0.324879848,0.315534233,0.299599834,0.28184209
0.348878922,0.356528412,0.361110467,0.348922519
0.258012027,0.230129615,0.199788796,0.175495457
0.340849191,0.349303468,0.340077948,0.310779409
0.381636456,0.365132332,0.361695541,0.342061843
0.421448769,0.415120571,0.396517266,0.373448433
0.329340432,0.332051662,0.34396732,0.332708848
0.278000401,0.26621929,0.244128608,0.224771664
0.314262107,0.316833979,0.294172658,0.267313074
0.273217929,0.257333723,0.23718793,0.216661972
0.285641476,0.267296709,0.248943047,0.227231316
0.440842192,0.464055242,0.457710081,0.445636364
0.413762319,0.430375882,0.443209419,0.43727874
0.227278162,0.242051229,0.241969293,0.233960954
0.361786122,0.365131428,0.357926465,0.349596779
0.284612914,0.260575813,0.233374793,0.212248798
0.291901508,0.273737595,0.248407819,0.223324711
0.232980286,0.228006405,0.217273101,0.196493344
0.296252821,0.29726885,0.286199098,0.274149062
0.306030671,0.298798418,0.284146684,0.265333162
0.291750912,0.293637507,0.287615172,0.280725873
0.43446152,0.447511316,0.453484158,0.455163391
0.397951283,0.40197108,0.382840515,0.363089456
0.385313767,0.4008781,0.386502534,0.361316809
0.404464686,0.397632644,0.391069508,0.368225184
0.399554398,0.3998396,0.404472069,0.385486035
0.331188136,0.341333413,0.330234747,0.316906349
0.264807441,0.252056617,0.237879476,0.222772453
0.316330851,0.321706271,0.313629223,0.293365841
0.332144292,0.343970189,0.352987324,0.353799472
0.248558925,0.293198333,0.257847279,0.200941471
0.243555415,0.271803455,0.263430667,0.216129139
0.161654373,0.162512605,0.157346114,0.153006417
0.322624512,0.323875609,0.301803308,0.285256336
0.318838555,0.319285817,0.301267774,0.275076358
0.305767904,0.316212859,0.31456942,0.316071033
0.27640243,0.290004322,0.280231133,0.262253968
0.265005933,0.268280645,0.260389224,0.25883263
0.199291575,0.20277563,0.199455324,0.195912652
0.32944057,0.324173652,0.306738681,0.280817219
0.353474304,0.371184076,0.362429006,0.343878075
0.25747885,0.258660882,0.255211766,0.249653119
0.32517254,0.349859128,0.344797585,0.334772763
0.243888283,0.257469337,0.249594616,0.236492545
0.275660927,0.272730865,0.266280331,0.260075959
0.289223783,0.269656961,0.242095154,0.225409722
0.267334039,0.249796488,0.224626991,0.196251843
0.37405946,0.379534215,0.3596293,0.342491693
0.351744644,0.369149557,0.351983175,0.329279605
0.29274771,0.286291679,0.26011477,0.233035097
0.294527983,0.293468839,0.282064965,0.265007732
0.356387424,0.387117207,0.385818486,0.358074289
0.284512054,0.273452116,0.254749555,0.242430849
0.33881079,0.346659457,0.337102079,0.316298277
0.266613468,0.249124668,0.226262547,0.207063612
0.283182635,0.266849528,0.242330451,0.223658498
0.314648594,0.307048492,0.302442407,0.303647182
0.274309204,0.25177563,0.223811348,0.206653479
0.275490996,0.253643227,0.216891983,0.189046204
0.310523105,0.289838634,0.265239209,0.252280963
0.27701613,0.25951917,0.23684503,0.213408563
0.279164815,0.262013275,0.235625872,0.212771576
0.289977417,0.255367622,0.223675484,0.201402839
0.243335376,0.231634245,0.221009893,0.202430509
0.250986898,0.238392322,0.210729682,0.193863843
0.35458018,0.386385209,0.406734123,0.397206318
0.285401187,0.259744522,0.232533961,0.216902985
0.283311653,0.268657487,0.246968825,0.227992486
0.346710769,0.342984799,0.33220979,0.313627372
0.35306656,0.345000502,0.320777366,0.282507776
0.428831327,0.436997218,0.430306834,0.399721913
0.397043352,0.420062957,0.405398202,0.394535298
0.435298105,0.442124618,0.440510729,0.428343239
0.334162853,0.363598896,0.365552057,0.349361016
0.301835918,0.313443221,0.308858542,0.292288461
0.384910368,0.410073199,0.404584237,0.399800884
0.407192606,0.399532334,0.377924762,0.372959475
0.380160939,0.358026527,0.357012052,0.339019402
0.306016666,0.302513347,0.2798897,0.255193778
0.272401557,0.279544277,0.268508479,0.252482998
0.397307364,0.423762332,0.406434486,0.391747711
0.395160089,0.409467111,0.401901514,0.384682899
0.449254188,0.439871415,0.435334136,0.413305801
0.394512155,0.407992007,0.412959685,0.403428729
0.307630294,0.304293319,0.299725566,0.309620126
0.350449336,0.386649388,0.402834648,0.414644046
0.423905463,0.435492772,0.426401551,0.416503338
0.492851014,0.514354612,0.520559273,0.526694089
0.396386023,0.427954901,0.428058591,0.416434149
0.325994683,0.335659834,0.346157631,0.368786475
0.311404198,0.300701108,0.288518601,0.292221558
0.32101035,0.321786463,0.322676949,0.323565403
0.322973179,0.325858562,0.323535679,0.334583941
0.29323575,0.276794648,0.249403773,0.241608558
0.290169266,0.269886765,0.245305677,0.228278388
0.327434407,0.313470704,0.291168012,0.270974239
0.338790468,0.333804547,0.323881974,0.30680588
0.343331133,0.361358468,0.363292116,0.3578426
0.405515629,0.420015488,0.423889655,0.422020822
0.343203387,0.342928619,0.344865357,0.345778055
0.356796475,0.358176162,0.353391552,0.354393536
0.400244914,0.405552277,0.417497508,0.415320787
0.348019632,0.336420077,0.334126682,0.32801963
0.406547351,0.418428614,0.413077971,0.400604057
0.3511459,0.385733753,0.323895011,0.308828511
0.286463535,0.27619359,0.257851018,0.244483219
0.363001076,0.354675782,0.328361119,0.306115619
0.329735454,0.326219979,0.314149425,0.297364015
0.33599945,0.332939626,0.317099178,0.301101879
0.325307911,0.323779784,0.31115938,0.299891847
0.391898044,0.394099924,0.372517284,0.353377719
0.36808242,0.374789592,0.351658605,0.322947691
0.260171602,0.263455576,0.25653469,0.243071793
0.278579875,0.280203591,0.265212491,0.245041315
0.255576648,0.264383418,0.256293468,0.248355844
0.308358128,0.305787478,0.292800788,0.273585697
0.314132629,0.292073317,0.266605955,0.25496778
0.340645573,0.338775716,0.338026968,0.347494832
0.395095126,0.384971888,0.354256926,0.322279602
0.444949682,0.328312718,0.365258445,0.345594195
0.36851253,0.365767104,0.359009558,0.348282997
0.422298519,0.440686775,0.421757611,0.420542995
0.350499024,0.35435922,0.348135442,0.335271965
0.351646059,0.375879713,0.377210312,0.376054279
0.393228704,0.41317183,0.417341239,0.416342347
0.342924257,0.330169225,0.313492631,0.289884878
0.356548315,0.352451215,0.342246423,0.319448209
0.270876706,0.276995944,0.27923865,0.275841552
0.280142283,0.28599033,0.28679565,0.283255627
0.379233318,0.38414803,0.380841446,0.367958505
0.386170988,0.383816043,0.361859742,0.356622896
0.304751868,0.324343687,0.299052141,0.271991771
0.391966157,0.4142329,0.386087011,0.352922398
0.341753906,0.357607299,0.345655155,0.32952289
0.31425516,0.312372942,0.294517247,0.286587298
0.338616542,0.346990548,0.340377293,0.311678454
0.411398787,0.414666302,0.394285999,0.374002392
0.365184698,0.361907711,0.364777308,0.361286163
0.343773744,0.360800937,0.351412827,0.342348249
0.370803841,0.38165225,0.365053972,0.355063429
0.409475007,0.43597698,0.43398026,0.405025966
0.338561881,0.33158758,0.321519195,0.304857627
0.345811865,0.374731207,0.368652267,0.353308359
0.403698095,0.395342922,0.400662695,0.40730698
0.410288804,0.427230189,0.419070617,0.405945043
0.268483757,0.270471478,0.266909019,0.263322418
0.2752934,0.278051729,0.261768736,0.245588926
0.390851492,0.387437313,0.348046264,0.307298311
0.468733248,0.490785187,0.527844708,0.590651776
0.38529488,0.400813975,0.379975554,0.378038945
0.367094108,0.390532213,0.387903932,0.364027069
0.468116004,0.463018711,0.426218923,0.423553278
0.523037343,0.533264195,0.474263994,0.435283229
0.464402447,0.544313162,0.553368513,0.535298395
0.472974503,0.492832932,0.498198042,0.498465882
0.311880871,0.303779705,0.272753618,0.255204407
0.279025978,0.259260043,0.224911807,0.196746665
0.314850988,0.280104896,0.268179652,0.246895471
0.300744566,0.301969958,0.289458995,0.281178338
0.346381705,0.316042827,0.295705864,0.276933494
0.326251884,0.295187821,0.264803126,0.245376004
0.341781188,0.337017286,0.316872749,0.301765985
0.341223279,0.299929318,0.296454827,0.277097707
0.273872707,0.254042962,0.209642722,0.172354608
0.270450316,0.237206997,0.192207458,0.166668126
0.318185726,0.309054303,0.295320949,0.275426789
0.268623309,0.260575079,0.240430883,0.216148036
0.250846318,0.243284567,0.221887546,0.200495799
0.301677279,0.278108975,0.238144279,0.223529735
0.269518566,0.241020043,0.214535495,0.191680273
0.266385703,0.242761092,0.216364811,0.195474989
0.235158782,0.231372798,0.212134293,0.193845164
0.352697294,0.382527806,0.391325621,0.408840644
0.255782946,0.248673682,0.225212109,0.201958954
0.285759204,0.260525815,0.231770281,0.206397443
0.275466381,0.250853008,0.2210396,0.195245573
0.272250839,0.277834304,0.270497863,0.265988026
0.186937519,0.187003243,0.179359461,0.170373232
0.301060968,0.286789993,0.259740104,0.234948685
0.378914606,0.388860285,0.375135357,0.36808796
0.35117112,0.343273262,0.297905324,0.254756981
0.384541892,0.372425922,0.355210732,0.325458057
0.366172021,0.376975455,0.374700828,0.345058784
0.354980215,0.333136063,0.297400536,0.299722868
0.328877198,0.313937277,0.287711731,0.280825176
0.299506823,0.297761858,0.279207756,0.276991911
0.304366643,0.293418532,0.282785102,0.27120369
0.410694074,0.419968432,0.430447976,0.434538259
0.457792567,0.467351524,0.47222328,0.458537751
0.364119054,0.387292636,0.376531929,0.353100229
0.403703614,0.39950616,0.383735886,0.362376376
0.481250508,0.466118265,0.441796457,0.431613179
0.413128067,0.485354699,0.495060982,0.487906551
0.400290249,0.409147718,0.414022876,0.416347852
0.453222393,0.465608772,0.45734433,0.451984787
0.457514388,0.446201758,0.418782057,0.38947155
0.463537902,0.483051308,0.480095864,0.490479283
0.444718182,0.461163214,0.477896447,0.479628413
0.445170413,0.451999291,0.444357979,0.436645624
0.41337235,0.421870144,0.420195721,0.411109546
0.431862613,0.441840826,0.430166357,0.409434726
0.461856666,0.468096229,0.472340776,0.444333084
0.456982528,0.473128547,0.483850087,0.47297932
0.416624786,0.426000097,0.42359291,0.410800574
0.474110526,0.485855611,0.477606276,0.45713051
0.454797164,0.478621259,0.461255433,0.469447179
0.44191757,0.466706509,0.460383523,0.444652351
0.42801068,0.450096158,0.420361544,0.403162281
0.423619424,0.446677534,0.439394826,0.444505456
0.434473306,0.436571465,0.431900048,0.420435561
0.415987853,0.432197175,0.428115067,0.405544008
0.403708025,0.413675399,0.404226898,0.40052347
0.478392618,0.499125317,0.498343615,0.480630345
0.403860204,0.414377364,0.402477997,0.38316274
0.392615436,0.399176135,0.39314213,0.36399994
0.453234481,0.475225677,0.477902788,0.480321889
0.38420942,0.377094851,0.341905024,0.320443333
0.344839433,0.336138523,0.302839901,0.283134503
0.314573185,0.296390706,0.274282556,0.262432857
0.367110065,0.358604722,0.333517555,0.309235988
0.334948736,0.338810091,0.318939166,0.306629379
0.365175203,0.33885188,0.338803408,0.338144537
0.36517446,0.349614563,0.335271885,0.31701448
0.34329331,0.345022835,0.322522264,0.299961338
0.389596629,0.409799817,0.436690382,0.430840627
0.578017899,0.625419848,0.634497674,0.60503881
0.344145635,0.339453728,0.324390601,0.293202189
0.428109486,0.434300655,0.409306108,0.385330159
0.342331323,0.329664366,0.316724255,0.303569332
0.437644755,0.426740006,0.440217653,0.422782873
0.455627302,0.481199563,0.496382577,0.501941909
0.421091462,0.453425915,0.463438723,0.436126832
0.404989182,0.406637057,0.371542265,0.33421326
0.406806315,0.415687271,0.395341071,0.379190628
