average-3,average-5,gaussian-3,gaussian-5
0.134710179,0.15448107,0.127406997,0.142061838
0.181574826,0.208770861,0.171650931,0.194764911
0.26248075,0.245230256,0.253237408,0.228843493
0.170956689,0.204643074,0.165349597,0.180318099
0.156175132,0.190327688,0.146512288,0.162066051
0.139129473,0.155314176,0.134297132,0.140191352
0.13530447,0.146128963,0.128151442,0.142616317
0.106105907,0.124816417,0.097552932,0.116281061
0.119653682,0.145906489,0.110288216,0.129202191
0.118756199,0.119679465,0.113136162,0.121753818
0.139021495,0.138689659,0.131559077,0.132404698
0.153646711,0.18900849,0.143047786,0.170121993
0.132927489,0.156407141,0.122602988,0.140621338
0.1084532,0.122221535,0.104004046,0.116606185
0.100789144,0.112375421,0.095631603,0.107406029
0.113954541,0.125522393,0.106830136,0.118299868
0.080224266,0.090625811,0.076826607,0.080575667
0.069872318,0.079979497,0.065658667,0.071535232
0.095970485,0.12099835,0.088550168,0.10290624
0.091213803,0.104874711,0.085457374,0.096412674
0.08672582,0.105038383,0.081780563,0.094692874
0.089222459,0.11311792,0.084217336,0.095851924
0.08464537,0.102113966,0.076746451,0.090046698
0.161221822,0.172344838,0.152611296,0.167193289
0.132751398,0.135255178,0.128156472,0.134828577
0.134955077,0.148583245,0.130531689,0.139620995
0.14809821,0.186065971,0.139351082,0.162949037
0.134709019,0.161639839,0.126496044,0.14390232
0.152465022,0.181060983,0.14653524,0.162960059
0.145712634,0.15456447,0.137795653,0.149180477
0.086126639,0.102415545,0.081247818,0.090382409
0.117995479,0.149636149,0.108733999,0.129468294
0.168078226,0.168570159,0.164093589,0.16315196
0.125793476,0.146232653,0.120508412,0.136314102
0.087541142,0.100614865,0.082542976,0.092839795
0.090178883,0.111548729,0.083272609,0.100138794
0.156265297,0.159570442,0.148192689,0.154815184
0.151900142,0.158560956,0.141914356,0.155855519
0.136292874,0.158547437,0.125047946,0.142745089
0.133178744,0.172186645,0.12296185,0.147365268
0.114156671,0.130194734,0.107997012,0.118440998
0.170654995,0.180188259,0.165871351,0.176738164
0.147980709,0.147157303,0.142971789,0.148535649
0.124638141,0.152581955,0.1167677,0.13727995
0.089460159,0.116636987,0.084104487,0.100868751
0.098729331,0.120512458,0.094157717,0.105590122
0.103747208,0.120455448,0.098577451,0.110653352
0.10547231,0.118041712,0.101776383,0.108537557
0.113291461,0.112041518,0.10871059,0.107380988
0.105086317,0.105556398,0.105985003,0.105310488
0.068535295,0.083298041,0.063946883,0.075033048
0.078004226,0.091389932,0.072278962,0.084265147
0.103867964,0.121499524,0.098400984,0.11114498
0.094359871,0.111417134,0.088670267,0.10175539
0.080504916,0.10234556,0.072876636,0.085370694
0.070637103,0.090009094,0.064689136,0.078490815
0.068672757,0.086301096,0.059620312,0.07709798
0.074990344,0.09412481,0.066871253,0.082928577
0.166302233,0.17479839,0.161561567,0.171394867
0.091463236,0.098129712,0.08607518,0.09534829
0.088172341,0.103298575,0.081243475,0.094439463
0.095522645,0.116459476,0.092004984,0.105065481
0.117203275,0.121307057,0.114453575,0.117290808
0.11888601,0.130113813,0.117897771,0.12192062
0.132845284,0.142036375,0.129967064,0.135486666
0.083119569,0.102285009,0.077092872,0.086059723
0.160645727,0.172611238,0.159281399,0.170414988
0.114734169,0.13596431,0.11855735,0.112817158
0.166824377,0.147746663,0.168492141,0.170130702
0.126124577,0.154830353,0.129509937,0.125038737
0.130218589,0.155958767,0.131415933,0.129914992
0.088430036,0.101855596,0.081944302,0.093839867
0.089716131,0.100120192,0.08795969,0.092453771
0.09589219,0.108805959,0.089107067,0.103654783
0.103582357,0.112316565,0.095175629,0.108707125
0.12883072,0.136861497,0.126738591,0.127139538
0.141714578,0.130334865,0.140523906,0.136807533
0.164376209,0.190304846,0.156847907,0.17492729
